"","Type","Assembly","Number","total","Percentage"
"1","Annotated protein","barcode09",3413,6026,56.6379024228344
"2","Hypothetical protein","barcode09",2517,6026,41.7690009956854
"3","Ribosomal RNA","barcode09",19,6026,0.315300365084633
"4","tRNA","barcode09",77,6026,1.27779621639562
"5","Annotated protein","barcode11",3581,8174,43.8096403229753
"6","Hypothetical protein","barcode11",4486,8174,54.8813310496697
"7","Ribosomal RNA","barcode11",18,8174,0.220210423293369
"8","tRNA","barcode11",89,8174,1.08881820406166
"9","Annotated protein","barcode19",3828,9103,42.0520707459079
"10","Hypothetical protein","barcode19",5168,9103,56.7724925848621
"11","Ribosomal RNA","barcode19",17,9103,0.186751620344941
"12","tRNA","barcode19",90,9103,0.988685048884983
"13","Annotated protein","barcode20",3642,8736,41.6895604395604
"14","Hypothetical protein","barcode20",4991,8736,57.1314102564103
"15","Ribosomal RNA","barcode20",18,8736,0.206043956043956
"16","tRNA","barcode20",85,8736,0.972985347985348
"17","Annotated protein","barcode22",3540,8249,42.9142926415323
"18","Hypothetical protein","barcode22",4602,8249,55.788580433992
"19","Ribosomal RNA","barcode22",21,8249,0.254576312280276
"20","tRNA","barcode22",86,8249,1.04255061219542
"21","Annotated protein","barcode25",3490,7935,43.9823566477631
"22","Hypothetical protein","barcode25",4333,7935,54.6061751732829
"23","Ribosomal RNA","barcode25",21,7935,0.264650283553875
"24","tRNA","barcode25",91,7935,1.14681789540013
"25","Annotated protein","barcode26",3788,6927,54.6845676338964
"26","Hypothetical protein","barcode26",3076,6927,44.4059477407247
"27","Ribosomal RNA","barcode26",6,6927,0.086617583369424
"28","tRNA","barcode26",57,6927,0.822867042009528
"29","Annotated protein","barcode27",3349,5397,62.052992403187
"30","Hypothetical protein","barcode27",1948,5397,36.0941263664999
"31","Ribosomal RNA","barcode27",20,5397,0.370576246062627
"32","tRNA","barcode27",80,5397,1.48230498425051
"33","Annotated protein","barcode31",3349,7348,45.5770277626565
"34","Hypothetical protein","barcode31",3904,7348,53.1301034295046
"35","Ribosomal RNA","barcode31",21,7348,0.285792052259118
"36","tRNA","barcode31",74,7348,1.00707675557975
"37","Annotated protein","barcode32",2208,4755,46.4353312302839
"38","Hypothetical protein","barcode32",2480,4755,52.1556256572029
"39","Ribosomal RNA","barcode32",9,4755,0.189274447949527
"40","tRNA","barcode32",58,4755,1.21976866456362
"41","Annotated protein","barcode33",3868,9604,40.2748854643898
"42","Hypothetical protein","barcode33",5654,9604,58.8713036234902
"43","Ribosomal RNA","barcode33",4,9604,0.041649312786339
"44","tRNA","barcode33",78,9604,0.812161599333611
"45","Annotated protein","barcode35",3607,8644,41.7283664969921
"46","Hypothetical protein","barcode35",4917,8644,56.8833873206849
"47","Ribosomal RNA","barcode35",24,8644,0.2776492364646
"48","tRNA","barcode35",96,8644,1.1105969458584
"49","Annotated protein","barcode36",3527,7547,46.733801510534
"50","Hypothetical protein","barcode36",3917,7547,51.9014177819001
"51","Ribosomal RNA","barcode36",21,7547,0.278256260765867
"52","tRNA","barcode36",82,7547,1.08652444680005
"53","Annotated protein","barcode37",3702,9287,39.862172929902
"54","Hypothetical protein","barcode37",5472,9287,58.9210724668892
"55","Ribosomal RNA","barcode37",20,9287,0.215354797028104
"56","tRNA","barcode37",93,9287,1.00139980618068
"57","Annotated protein","barcode38",3577,8649,41.3573823563418
