"","Assembly","QC_number","Number_of_reads","Total_bases","Read_length_N50","Mean_read_quality","QC_name"
"1","barcode01","QC1",183900,74923101,591,12.9,"Read quality from nanopore sequnecing"
"2","barcode02","QC1",12028,3253967,2260,9.4,"Read quality from nanopore sequnecing"
"3","barcode03","QC1",74792,26228119,515,12.2,"Read quality from nanopore sequnecing"
"4","barcode04","QC1",467445,420724050,1426,14.6,"Read quality from nanopore sequnecing"
"5","barcode05","QC1",146242,98937095,1320,13.4,"Read quality from nanopore sequnecing"
"6","barcode06","QC1",425579,688165763,2938,14.7,"Read quality from nanopore sequnecing"
"7","barcode07","QC1",477005,289098397,1068,13.6,"Read quality from nanopore sequnecing"
"8","barcode08","QC1",99417,79325836,1551,13.3,"Read quality from nanopore sequnecing"
"9","barcode09","QC1",740027,1181697255,2828,14.9,"Read quality from nanopore sequnecing"
"10","barcode10","QC1",228741,138135835,1180,13.5,"Read quality from nanopore sequnecing"
"11","barcode11","QC1",473102,452779628,2371,13.9,"Read quality from nanopore sequnecing"
"12","barcode12","QC1",571816,688836259,2274,14.5,"Read quality from nanopore sequnecing"
"13","barcode13","QC1",1139257,1682094613,3277,14.7,"Read quality from nanopore sequnecing"
"14","barcode14","QC1",633352,872858064,2824,14.3,"Read quality from nanopore sequnecing"
"15","barcode15","QC1",454980,966916524,4051,15,"Read quality from nanopore sequnecing"
"16","barcode16","QC1",972936,2036794353,3845,15.5,"Read quality from nanopore sequnecing"
"17","barcode17","QC1",451670,978036020,4068,15,"Read quality from nanopore sequnecing"
"18","barcode18","QC1",5875,1521458,2448,7.7,"Read quality from nanopore sequnecing"
"19","barcode19","QC1",220593,275011244,2686,13.7,"Read quality from nanopore sequnecing"
"20","barcode20","QC1",222715,362273217,3020,14.6,"Read quality from nanopore sequnecing"
"21","barcode21","QC1",480648,222716032,688,13.5,"Read quality from nanopore sequnecing"
"22","barcode22","QC1",190664,249890425,2874,13.5,"Read quality from nanopore sequnecing"
"23","barcode23","QC1",155648,153470891,2317,13.5,"Read quality from nanopore sequnecing"
"24","barcode24","QC1",415446,248847555,1404,12.2,"Read quality from nanopore sequnecing"
"25","barcode25","QC1",491106,751450049,2997,14.3,"Read quality from nanopore sequnecing"
"26","barcode26","QC1",628818,1026507511,3220,14.8,"Read quality from nanopore sequnecing"
"27","barcode27","QC1",575828,1002826317,3258,15.1,"Read quality from nanopore sequnecing"
"28","barcode28","QC1",749986,1401512542,3499,15.1,"Read quality from nanopore sequnecing"
"29","barcode29","QC1",43898,17687657,626,12.5,"Read quality from nanopore sequnecing"
"30","barcode30","QC1",74941,49938220,1343,12.8,"Read quality from nanopore sequnecing"
"31","barcode31","QC1",238177,313500844,2420,14.2,"Read quality from nanopore sequnecing"
"32","barcode32","QC1",379234,654146611,3163,14.9,"Read quality from nanopore sequnecing"
"33","barcode33","QC1",106209,121269121,2518,13.3,"Read quality from nanopore sequnecing"
"34","barcode34","QC1",64615,15772507,355,11.8,"Read quality from nanopore sequnecing"
"35","barcode35","QC1",172282,234549120,2569,14.4,"Read quality from nanopore sequnecing"
"36","barcode36","QC1",162096,234233630,2716,14.1,"Read quality from nanopore sequnecing"
"37","barcode37","QC1",357603,592340906,3261,14.8,"Read quality from nanopore sequnecing"
"38","barcode38","QC1",468329,856469119,3389,14.9,"Read quality from nanopore sequnecing"
"39","barcode39","QC1",540199,933123134,3595,14.7,"Read quality from nanopore sequnecing"
"40","barcode40","QC1",373320,589604126,3231,14.1,"Read quality from nanopore sequnecing"
"41","barcode41","QC1",391421,573268002,3702,14,"Read quality from nanopore sequnecing"
"42","barcode42","QC1",280740,550914413,4058,15.1,"Read quality from nanopore sequnecing"
"43","barcode43","QC1",270285,190388883,2101,13.3,"Read quality from nanopore sequnecing"
"44","barcode44","QC1",516342,632924151,3200,14.1,"Read quality from nanopore sequnecing"
"45","barcode45","QC1",454999,750808787,3731,14,"Read quality from nanopore sequnecing"
"46","barcode46","QC1",478520,993622228,4055,14.9,"Read quality from nanopore sequnecing"
"47","barcode47","QC1",884631,1201238179,2656,15.1,"Read quality from nanopore sequnecing"
"48","barcode48","QC1",360864,549782368,3875,14,"Read quality from nanopore sequnecing"
"49","barcode49","QC1",720232,1231499644,3020,15.1,"Read quality from nanopore sequnecing"
"50","barcode50","QC1",437516,431767589,1835,14,"Read quality from nanopore sequnecing"
"51","barcode51","QC1",1131480,1439374709,2404,14.6,"Read quality from nanopore sequnecing"
