"","...1","X","Barcode","contig","Region","Type","From","To","Most_smimilar_known_cluster_name","Most_smimilar_known_cluster_type","Similarity_pct","Assembly","kort_navn","Domain","Phylum","Class","Order","Family","Genus","Species","Species_name","duplicate_kort_navn","Species_name_new"
"1",1,144,9,1,1,"NAGGN",1123249,1138139,"Unknown","Unknown",0,"barcode09","(Ai8)","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas_E","s__Pseudomonas_E koreensis_A","Pseudomonas koreensis_A",FALSE,"Pseudomonas koreensis_A"
"2",2,145,9,1,2,"NRPS",1282149,1334246,"Pf-5 pyoverdine","NRP",19,"barcode09","(Ai8)","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas_E","s__Pseudomonas_E koreensis_A","Pseudomonas koreensis_A",FALSE,"Pseudomonas koreensis_A"
"3",3,146,9,1,3,"betalactone",1702755,1726020,"fengycin","NRP",13,"barcode09","(Ai8)","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas_E","s__Pseudomonas_E koreensis_A","Pseudomonas koreensis_A",FALSE,"Pseudomonas koreensis_A"
"4",4,147,9,1,4,"NRPS",2038151,2114364,"lokisin","NRP",85,"barcode09","(Ai8)","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas_E","s__Pseudomonas_E koreensis_A","Pseudomonas koreensis_A",FALSE,"Pseudomonas koreensis_A"
"5",5,148,9,1,5,"RiPP-like",2288740,2298669,"Unknown","Unknown",0,"barcode09","(Ai8)","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas_E","s__Pseudomonas_E koreensis_A","Pseudomonas koreensis_A",FALSE,"Pseudomonas koreensis_A"
"6",6,149,9,1,6,"ectoine",2338000,2348290,"Unknown","Unknown",0,"barcode09","(Ai8)","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas_E","s__Pseudomonas_E koreensis_A","Pseudomonas koreensis_A",FALSE,"Pseudomonas koreensis_A"
"7",7,150,9,1,7,"NI-siderophore",3189790,3201640,"Unknown","Unknown",0,"barcode09","(Ai8)","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas_E","s__Pseudomonas_E koreensis_A","Pseudomonas koreensis_A",FALSE,"Pseudomonas koreensis_A"
"8",8,151,9,1,8,"RiPP-like",3403108,3411909,"Unknown","Unknown",0,"barcode09","(Ai8)","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas_E","s__Pseudomonas_E koreensis_A","Pseudomonas koreensis_A",FALSE,"Pseudomonas koreensis_A"
"9",9,152,9,1,9,"NRP-metallophore,NRPS",3722466,3816222,"pyoverdine SMX-1","NRP",61,"barcode09","(Ai8)","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas_E","s__Pseudomonas_E koreensis_A","Pseudomonas koreensis_A",FALSE,"Pseudomonas koreensis_A"
"10",10,153,9,1,10,"RiPP-like",4516866,4527753,"Unknown","Unknown",0,"barcode09","(Ai8)","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas_E","s__Pseudomonas_E koreensis_A","Pseudomonas koreensis_A",FALSE,"Pseudomonas koreensis_A"
"11",11,154,9,1,11,"arylpolyene",5487577,5531181,"APE Vf","Other",40,"barcode09","(Ai8)","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas_E","s__Pseudomonas_E koreensis_A","Pseudomonas koreensis_A",FALSE,"Pseudomonas koreensis_A"
"12",12,155,9,1,12,"NRPS-like",5837532,5880924,"fragin","NRP",37,"barcode09","(Ai8)","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas_E","s__Pseudomonas_E koreensis_A","Pseudomonas koreensis_A",FALSE,"Pseudomonas koreensis_A"
"13",13,156,9,1,13,"redox-cofactor",6597137,6619293,"lankacidin C","NRP+Polyketide",13,"barcode09","(Ai8)","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas_E","s__Pseudomonas_E koreensis_A","Pseudomonas koreensis_A",FALSE,"Pseudomonas koreensis_A"
"14",14,164,11,2,1.1,"T3PKS",42776,83933,"alkylresorcinol","Polyketide",100,"barcode11","(Ai10)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces gardneri","Streptomyces gardneri",FALSE,"Streptomyces gardneri"
"15",15,165,11,2,1.2,"indole",289623,312853,"rebeccamycin","Alkaloid",25,"barcode11","(Ai10)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces gardneri","Streptomyces gardneri",FALSE,"Streptomyces gardneri"
"16",16,166,11,2,1.3,"lanthipeptide-class-iv,NRPS",413356,454565,"venezuelin","RiPP:Lanthipeptide",100,"barcode11","(Ai10)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces gardneri","Streptomyces gardneri",FALSE,"Streptomyces gardneri"
"17",17,167,11,2,1.4,"NRP-metallophore,NRPS",471128,528416,"peucechelin","NRP",55,"barcode11","(Ai10)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces gardneri","Streptomyces gardneri",FALSE,"Streptomyces gardneri"
"18",18,168,11,2,1.5,"RiPP-like",53055,539685,"Unknown","Unknown",0,"barcode11","(Ai10)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces gardneri","Streptomyces gardneri",FALSE,"Streptomyces gardneri"
"19",19,169,11,2,1.6,"terpene",829093,850394,"geosmin","Terpene",100,"barcode11","(Ai10)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces gardneri","Streptomyces gardneri",FALSE,"Streptomyces gardneri"
"20",20,170,11,2,1.7,"T2PKS,terpene",872662,945174,"spore pigment","Polyketide",83,"barcode11","(Ai10)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces gardneri","Streptomyces gardneri",FALSE,"Streptomyces gardneri"
"21",21,171,11,2,1.8,"ectoine",967885,978304,"ectoine","Other",100,"barcode11","(Ai10)","d__Bacteria","p__Actinomycetota","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces gardneri","Streptomyces gardneri",FALSE,"Streptomyces gardneri"
