"","Sample_ID","Assembly","n_contigs_(>=_0_bp)","GC_pct","Completeness","Contamination","N50","Quality"
"1","Pos (AAU1)","barcode01",395,41.75,57.44,1.53,4240,"Medium"
"2","AAU1","barcode03",68,41.77,7.31,0.05,3530,"Low"
"3","AAU2","barcode04",13,40.4,100,0.88,1122273,"High"
"4","AAU3","barcode05",939,70.85,85.57,1.95,11575,"Medium"
"5","AAU4","barcode06",9,72.13,100,0.56,1566154,"High"
"6","AAU6","barcode07",48,40.18,100,0,291526,"High"
"7","AAU7","barcode08",957,71.07,80.04,1.73,10810,"Medium"
"8","AAU8","barcode09",1,59.15,100,0.22,6685034,"High"
"9","AAU9","barcode10",238,39.93,99.99,2.5,49872,"High"
"10","AAU10","barcode11",7,71.73,100,0.28,1762257,"High"
"11","AAU11","barcode12",2,40.55,100,0.72,5363568,"High"
"12","AAU12","barcode13",1,40.62,100,0.75,5493904,"High"
"13","AAU13","barcode14",3,39.81,100,0.61,5506759,"High"
"14","AAU14","barcode15",1,55.26,100,0.18,5080569,"High"
"15","AAU15","barcode16",1,55.26,100,0.19,5080571,"High"
"16","AAU16","barcode17",1,73.08,99.96,0,2409429,"High"
"17","AU18","barcode19",26,71.4,100,0.8,1311012,"High"
"18","AU19","barcode20",12,71.62,100,0.07,2915214,"High"
"19","AU20","barcode21",1513,70.5,83.16,2.08,5944,"Medium"
"20","AU21","barcode22",15,71.7,100,0.07,2058998,"High"
"21","AU22","barcode23",990,68.45,99.38,40.32,20401,"Medium"
"22","AU23","barcode24",27,70.74,99.99,0.01,546373,"High"
"23","AU24","barcode25",9,72.04,100,0.72,6702815,"High"
"24","AU25","barcode26",3,67.74,100,0.83,5162462,"High"
"25","AU26","barcode27",2,62.79,99.98,0.03,3032299,"High"
"26","AU27","barcode28",1,60.51,100,0.55,5611232,"High"
"27","AU28","barcode29",3,71.92,6.38,0,2573,"Low"
"28","AU29","barcode30",748,70.47,36.21,0.77,6183,"Low"
"29","AU30","barcode31",13,70.58,100,0.05,856967,"High"
"30","AU31","barcode32",2,66.02,100,0.59,4857999,"High"
"31","AU32","barcode33",347,70.06,90.4,1.8,51284,"High"
"32","AU33","barcode34",1,66.13,5.03,0,3224,"Low"
"33","AU34","barcode35",31,71.97,100,0.63,945768,"High"
"34","AU35","barcode36",12,70.72,100,0.05,1473828,"High"
